Station.name		Month	Month2	Year	THg
Pasvikelva	01.08.2021 17:15:00	8		2021 mean	0.56
Pasvikelva	03.10.2021 17:30:00	10		2021 mean	1.32
Tanaelva	10.02.2021 13:00:00	2	February	2021 mean	0.4
Tanaelva	03.05.2021 09:00:00	5	May	2021 mean	0.81
Tanaelva	02.08.2021 11:00:00	8	August	2021 mean	1.06
Tanaelva	04.10.2021 12:30:00	10	October	2021 mean	1.56
Vosso(Bolstadelvi)	08.02.2021 11:00:00	2		2021 mean	0.72
Vosso(Bolstadelvi)	03.05.2021 11:45:00	5		2021 mean	0.97
Vosso(Bolstadelvi)	02.08.2021 11:30:00	8		2021 mean	0.6
Vosso(Bolstadelvi)	05.10.2021 10:00:00	10		2021 mean	1.53
Driva	22.02.2021 07:30:00	2		2021 mean	0.32
Driva	03.05.2021 09:00:00	5		2021 mean	0.42
Driva	02.08.2021 15:00:00	8		2021 mean	0.4
Driva	04.10.2021 15:00:00	10		2021 mean	2.24
Bjerkreimselva	01.03.2021 12:00:00	3		2021 mean	0.97
Bjerkreimselva	03.05.2021 13:15:00	5		2021 mean	0.84
Bjerkreimselva	02.08.2021 14:00:00	8		2021 mean	0.93
Bjerkreimselva	04.10.2021 13:45:00	10		2021 mean	0.84
Vikedalselva	15.02.2021 11:45:00	2		2021 mean	0.65
Vikedalselva	03.05.2021 12:20:00	5		2021 mean	0.9
Vikedalselva	02.08.2021 11:35:00	8		2021 mean	0.71
Vikedalselva	04.10.2021 12:30:00	10		2021 mean	1.2
Nausta	22.02.2021 11:00:00	2		2021 mean	1.53
Nausta	03.05.2021 07:30:00	5		2021 mean	0.97
Nausta	02.08.2021 11:30:00	8		2021 mean	0.67
Nausta	04.10.2021 16:00:00	10		2021 mean	3.11
Veg†rdselva	08.02.2021 10:45:00	2		2021 mean	2.06
Veg†rdselva	03.05.2021 11:10:00	5		2021 mean	1.72
Veg†rdselva	02.08.2021 12:30:00	8		2021 mean	1.67
Veg†rdselva	04.10.2021 11:10:00	10		2021 mean	3.23
Alna	02.02.2021 10:30:00	2		2021 mean	1.48
Alna	03.05.2021 11:30:00	5		2021 mean	0.63
Alna	02.08.2021 11:30:00	8		2021 mean	2.01
Alna	05.10.2021 12:15:00	10		2021 mean	7.43
M†lselva v/gml E6-brua	15.02.2021 10:00:00	2	February	2021 mean	0.34
M†lselva v/gml E6-brua	03.05.2021 07:30:00	5	May	2021 mean	0.74
M†lselva v/gml E6-brua	02.08.2021 10:00:00	8	August	2021 mean	0.31
M†lselva v/gml E6-brua	04.10.2021 12:00:00	10	October	2021 mean	1.05
